# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/ti/QUARTUS/VGA2.1/output_files/interface_vga.csv
# Generated on: Wed Jun  8 17:10:54 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
KEY[3],Input,PIN_R24,5,B5_N0,PIN_A17,,,,,,
KEY[2],Input,PIN_N21,6,B6_N2,PIN_AE25,,,,,,
KEY[1],Input,PIN_M21,6,B6_N1,PIN_B14,,,,,,
KEY[0],Input,PIN_M23,6,B6_N2,PIN_A14,,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
blue[7],Output,PIN_D12,8,B8_N0,PIN_D12,2.5 V,,,,,
blue[6],Output,PIN_D11,8,B8_N1,PIN_D11,2.5 V,,,,,
blue[5],Output,PIN_C12,8,B8_N0,PIN_C12,2.5 V,,,,,
blue[4],Output,PIN_A11,8,B8_N0,PIN_A11,2.5 V,,,,,
blue[3],Output,PIN_B11,8,B8_N0,PIN_B11,2.5 V,,,,,
blue[2],Output,PIN_C11,8,B8_N1,PIN_C11,2.5 V,,,,,
blue[1],Output,PIN_A10,8,B8_N0,PIN_A10,2.5 V,,,,,
blue[0],Output,PIN_B10,8,B8_N0,PIN_B10,2.5 V,,,,,
